#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma, Orientation Alpha, Orientation Beta, Orientation Gamma 
1, -0.017280101776123047, -0.023505210876464844, 0.12369441986083984, 0.025848388671875, 0.029876708984375, 0.03460693359375, 74.19710698464837, -11.123062047837823, 9.922622058347622 
2, 0.03209042549133301, 0.053231239318847656, 0.043457984924316406, 0.000213623046875, 0.2552490234375, 0.05810546875, 83.7594700272987, -58.47515723888366, 28.698677201869845 
3, -0.0470731258392334, 0.1596851348876953, -0.12659358978271484, 0.006622314453125, -0.489227294921875, 0.0751953125, 83.78791526900054, -58.0214340019535, 29.800081012793907 
4, -0.07152104377746582, 0.1591053009033203, -0.002724170684814453, -0.019012451171875, -0.09722900390625, 0.010040283203125, 84.54802527371812, -57.76779399151563, 28.045241640741132 
5, 0.08256220817565918, 0.012010574340820312, 0.053319454193115234, 0.004486083984375, 0.166595458984375, 0.0111083984375, 84.79471313932302, -57.80645727271684, 27.709433329189707 
6, -0.027391672134399414, -0.06133460998535156, -0.0033054351806640625, 0.0162353515625, 0.08648681640625, -0.0230712890625, 84.79471313932302, -57.80645727271684, 27.709433329189707 
7, -0.024201393127441406, 0.16518020629882812, 0.02410268783569336, -0.027557373046875, -0.029937744140625, -0.024139404296875, 84.79471313932302, -57.80645727271684, 27.709433329189707 
8, 0.009638309478759766, -0.010958671569824219, -0.17741870880126953, 0.015167236328125, -0.008575439453125, -0.017730712890625, 84.65691202552868, -57.83999044664197, 28.477677527835308 
9, 0.13899016380310059, -0.22567081451416016, -0.4721512794494629, 0.0162353515625, -0.26812744140625, -0.04656982421875, 84.23508378613172, -57.99973520959065, 28.217649828464737 
10, 0.10563945770263672, -0.25281620025634766, -0.05233192443847656, 0.068572998046875, -0.130340576171875, -0.018798828125, 83.94445943268026, -58.3434812959592, 27.224177700272467 
11, 0.17143607139587402, -0.10885190963745117, 0.6543545722961426, 0.384735107421875, -0.4710693359375, 0.157440185546875, 82.4620708697461, -57.255270445188835, 25.51851627962523 
12, 0.3212437629699707, 0.9737048149108887, -0.4246487617492676, 0.205291748046875, 0.542572021484375, 0.311248779296875, 83.88690893605505, -54.12040936425245, 23.768479199164045 
13, 2.031118392944336, 1.614335536956787, -3.0484299659729004, -0.54345703125, 0.05657958984375, -0.1298828125, 85.9159080942775, -52.8581029429277, 26.355321505851734 
14, 0.22861576080322266, 1.3261656761169434, -1.1607365608215332, -0.794464111328125, 0.491302490234375, -0.43963623046875, 88.17683206556907, -57.09742968715045, 29.28680469906355 
15, 0.2721066474914551, 1.0338783264160156, -0.7401173114776611, -1.093536376953125, -0.07373046875, 0.083740234375, 88.17683206556907, -57.09742968715045, 29.28680469906355 
16, -0.3531062602996826, 0.3791770935058594, -0.904773473739624, -0.149322509765625, -0.0865478515625, 0.302703857421875, 99.75160335384128, -67.04076595342613, 43.504626190019756 
17, -1.5548748970031738, -1.4924077987670898, 0.3282027244567871, 1.2808837890625, -0.852386474609375, 0.958526611328125, 99.82080438418602, -62.67708082574758, 41.25865523586661 
18, 0.8753166198730469, -0.7815370559692383, -1.1146807670593262, 0.73614501953125, -1.49859619140625, 0.76092529296875, 98.18944649058486, -52.200198829712676, 34.6219561633182 
19, 2.0494213104248047, 0.40001344680786133, 2.2174620628356934, 0.987152099609375, -0.059844970703125, 0.76947021484375, 99.24279374444492, -44.931120970002006, 28.90403692559862 
20, 3.6828901767730713, 5.175454616546631, 5.706582546234131, 2.9044189453125, 0.108917236328125, -0.833770751953125, 97.628150851179, -35.136727120208676, 21.53235035707814 
21, 2.337181329727173, 2.717247724533081, 4.3485565185546875, 2.14605712890625, 0.583160400390625, -0.5015869140625, 92.9323070695328, -20.15040052216967, 20.641125872123506 
22, -0.6570913791656494, 1.9035848379135132, 2.69769287109375, 0.280059814453125, -1.16961669921875, -0.41827392578125, 86.89592283337832, -6.747773966657153, 14.970515025437917 
23, -1.1248831748962402, 0.7684957981109619, 5.478996276855469, 0.14654541015625, -0.318328857421875, -1.24713134765625, 84.38826718859855, -4.827807306729161, 8.326684957220094 
24, -3.0702340602874756, 0.17079734802246094, 3.2350616455078125, -0.232635498046875, 0.293701171875, -0.25592041015625, 80.51089384666146, -4.79496858001209, 5.595341794580014 
25, -0.5730037093162537, -0.16442331671714783, 0.916172981262207, 0.39007568359375, -0.158111572265625, 0.151031494140625, 79.97864235140162, -2.4251394066234604, 5.520494534163945 
26, 0.6910197734832764, -0.651179850101471, 0.6451005935668945, 0.626129150390625, 0.190093994140625, -0.086090087890625, 80.70815366887486, -0.0022151157257515744, 4.986744314960213 
27, -0.4655212163925171, -0.4788212180137634, -0.5195856094360352, 0.2298583984375, -0.0609130859375, 0.04315185546875, 80.05803493835111, 0.5490290394180847, 6.114795659960785 
28, -0.11469578742980957, 0.35845956206321716, 2.261463165283203, -0.3426513671875, -0.275604248046875, 0.097625732421875, 80.14924802890663, -0.12307476740612588, 5.557267653847647 
29, 0.07264488935470581, 0.035745974630117416, -1.518113136291504, 0.41143798828125, -0.11859130859375, 0.0538330078125, 80.71387153742924, -0.2194481112659665, 5.119247540794012 
30, 0.2599068880081177, 0.3203287124633789, -0.14251995086669922, 0.027984619140625, -0.0694580078125, 0.001495361328125, 80.66653777534188, 1.076648449499086, 4.76850387687874 
