#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma, Orientation Alpha, Orientation Beta, Orientation Gamma 
1, -0.9033164978027344, 3.4396419525146484, -1.2220358848571777, 0.07391357421875, 0.653656005859375, -0.071136474609375, 266.1352763323443, 108.20640958609219, 61.943929655928684 
2, -0.149674654006958, -1.1587762832641602, -0.5860843658447266, 0.07391357421875, 0.30865478515625, -0.054046630859375, 269.544412830559, 106.8936570776819, 63.18873337966218 
3, -1.4083259105682373, 0.15337657928466797, -0.7994390726089478, 0.1358642578125, 0.215728759765625, 0.089080810546875, 272.31122190100587, 107.29843994455169, 62.05089016480036 
4, -1.6526601314544678, -0.06627941131591797, 0.5436310768127441, 0.147613525390625, -0.038482666015625, 0.25250244140625, 274.4403568688081, 108.5352137756129, 60.97486328347078 
5, -0.22797632217407227, -0.2002716064453125, 2.6441261768341064, 0.848297119140625, -0.21258544921875, -0.058319091796875, 277.231146688698, 110.44355767500022, 58.89098376556367 
6, 0.5585312843322754, -1.5855693817138672, 0.9657371044158936, 0.781005859375, -0.487091064453125, 0.53875732421875, 285.32344517206855, 112.92898437189169, 51.06940895338999 
7, 0.6991119384765625, -0.8825607299804688, -0.19730377197265625, 0.5289306640625, -0.126068115234375, 0.63702392578125, 287.0468034137413, 117.50616276830873, 48.236720671340784 
8, 1.2480788230895996, -1.328932762145996, -0.2769277095794678, 0.557769775390625, 0.089691162109375, 0.716064453125, 286.4982390752305, 123.07649698828183, 47.88698623410922 
9, -0.00861358642578125, -0.8967990875244141, -0.6553668975830078, 0.73828125, 0.17620849609375, 0.734222412109375, 286.0980571042228, 128.74695227952944, 48.371665128943064 
10, -0.3988499641418457, 0.5054187774658203, -0.8297944068908691, 0.87286376953125, 0.049102783203125, 0.830352783203125, 286.98174165470994, 135.35043510176388, 48.71825999875618 
11, -0.05066967010498047, 0.2241363525390625, -0.7063241004943848, 0.878204345703125, -0.064117431640625, 0.868804931640625, 288.1224373299004, 142.77114388509673, 48.052475437083885 
12, 0.6750640869140625, 2.2251639366149902, -1.5408611297607422, 0.61224365234375, -0.12286376953125, 0.8826904296875, 288.7682980593831, 151.36863923445802, 47.039605363964725 
13, 2.4980669021606445, 2.3583004474639893, -3.511383056640625, 0.15509033203125, -0.038482666015625, 0.314453125, 288.2377990942863, 156.35835651044974, 46.53914360690024 
14, 2.888380527496338, 3.0991549491882324, -3.324152946472168, -0.587249755859375, 0.05657958984375, -0.716278076171875, 288.25958630194, 155.37200437680482, 46.58855635507582 
15, 1.0450825691223145, 0.30835723876953125, -1.522416114807129, -0.8040771484375, 0.05657958984375, -1.139251708984375, 289.15553630628045, 148.63443920094184, 46.59631461478243 
16, 0.14311599731445312, -0.8829655647277832, -0.7617020606994629, -0.5989990234375, 0.121734619140625, -1.10614013671875, 290.984745152303, 141.08967316798942, 45.53895417237035 
17, 0.08134269714355469, -0.7831301689147949, -0.503394603729248, -0.71649169921875, 0.356719970703125, -0.94378662109375, 293.5475706246166, 133.1856956960033, 45.192907795402604 
18, -1.1431331634521484, -1.9417028427124023, 0.03008890151977539, -0.956817626953125, 0.27447509765625, -0.833770751953125, 294.0288704913615, 126.2353642302948, 47.001403707790864 
19, -1.0170347690582275, -2.861342430114746, 0.23821353912353516, -0.907684326171875, 0.433624267578125, -0.519744873046875, 292.3725092178403, 119.79127476429888, 49.59639062641204 
20, -0.8094322681427002, -1.7919082641601562, 0.6435379981994629, -0.459075927734375, 0.151641845703125, -0.286895751953125, 288.5315688191812, 115.1178854243812, 55.16752463337483 
21, -1.07267427444458, -1.6949529647827148, 1.1050161123275757, -0.525299072265625, -0.19549560546875, -0.0743408203125, 285.0136161381251, 112.093953473536, 58.76306790180364 
22, -2.4274158477783203, -0.7119016647338867, 2.8133645057678223, -0.02435302734375, 0.012786865234375, 0.185211181640625, 278.50708457784077, 110.46056358281653, 64.06338348214062 
23, 0.0362088680267334, -1.8818845748901367, 1.5898851156234741, 0.3665771484375, -0.05877685546875, 0.24609375, 278.40643460536876, 111.41452634220055, 64.21509675494379 
24, -0.9246323108673096, -2.302631378173828, -0.26458942890167236, 0.26190185546875, -0.00537109375, 0.16278076171875, 278.53366377890103, 113.20069455222534, 64.42227705704919 
25, -1.1569297313690186, -1.3186073303222656, 0.4869260787963867, 0.81304931640625, -0.363189697265625, 0.357177734375, 284.2355815128029, 115.93971389254968, 57.50375314651103 
26, -0.8480708599090576, 0.16689777374267578, 0.4197087287902832, 0.74468994140625, -0.196563720703125, 0.443695068359375, 288.6085343500625, 121.09035788013934, 50.26964710367719 
27, -0.24123382568359375, 0.836543083190918, -0.8374748229980469, 0.440277099609375, -0.202972412109375, 0.413787841796875, 289.7122610100013, 125.31774736954677, 47.54198092728094 
28, 0.6535272598266602, 0.06938600540161133, -0.877234935760498, 0.46697998046875, 0.03521728515625, 0.443695068359375, 289.501451810235, 129.155855547327, 46.73600310131009 
29, 0.6911535263061523, 0.06027507781982422, -0.7911887168884277, 0.3153076171875, 0.18048095703125, 0.54730224609375, 289.188879707707, 132.86670481053218, 47.61142590394303 
30, 0.46198272705078125, 0.18672513961791992, -1.3300657272338867, 0.389007568359375, -0.031005859375, 0.603912353515625, 288.51142769925093, 136.8668096853276, 48.638897793301446 
31, 1.053391456604004, 1.8756141662597656, -1.8704118728637695, 0.179656982421875, -0.096160888671875, 0.460784912109375, 287.6472273454171, 140.51325722998016, 49.00599001347752 
32, 3.0850439071655273, 3.333010673522949, -3.0874252319335938, -0.11407470703125, -0.014984130859375, -0.094635009765625, 287.6472273454171, 140.51325722998016, 49.00599001347752 
33, 2.1678085327148438, 2.481560707092285, -1.9470758438110352, -0.4921875, -0.00537109375, -0.71734619140625, 287.1710317392167, 139.4629071886589, 49.019521476137406 
34, -0.09091472625732422, -0.12045478820800781, -0.8382620811462402, -0.4879150390625, -0.10150146484375, -0.8348388671875, 288.2470141281005, 134.0693156759311, 48.24611771062142 
35, 0.5520586967468262, -0.6590871810913086, -0.5975894927978516, -0.4281005859375, 0.28729248046875, -0.799591064453125, 290.5497695265482, 128.90707696945017, 45.99033127400343 
36, -0.48259806632995605, -1.6598138809204102, -0.05659294128417969, -0.65240478515625, 0.44537353515625, -0.778228759765625, 292.454545321272, 123.8304369203808, 46.18350968830514 
37, -1.0554821491241455, -2.1057395935058594, -0.016510486602783203, -0.4964599609375, 0.2637939453125, -0.58062744140625, 293.1833392441231, 117.39045879137723, 48.24493957441143 
38, -0.5395557880401611, -2.3884458541870117, 0.026555299758911133, -0.625701904296875, 0.50732421875, -0.374481201171875, 291.53485097291434, 113.21638870852131, 51.59679617016662 
39, 0.4445643424987793, -0.7059164047241211, -0.10457682609558105, -0.69085693359375, -0.918609619140625, 0.03460693359375, 286.4578770343069, 110.346757093549, 58.487844519606504 
40, -0.9100205898284912, -1.6177473068237305, 0.6482207775115967, -0.039306640625, -0.358917236328125, 0.082672119140625, 278.622499355093, 108.42417446048195, 63.29341967344922 
