#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma, Orientation Alpha, Orientation Beta, Orientation Gamma 
1, 0.2987658977508545, 3.3803186416625977, -1.6764113903045654, -0.81903076171875, -0.082275390625, 0.039947509765625, 99.1167603495175, -103.39205526737369, -60.45870370696626 
2, 0.03314375877380371, 0.6815423965454102, -0.1548910140991211, -0.66522216796875, 0.00531005859375, 0.58148193359375, 113.8686172762497, -109.44396969793986, -46.74362657408081 
3, 0.31934094429016113, 1.304433822631836, -0.9549126625061035, -0.550933837890625, -0.014984130859375, 0.72247314453125, 114.98546044419871, -115.27112219093756, -45.729105309354985 
4, 0.05321669578552246, 0.03112316131591797, -1.1557018756866455, -0.747467041015625, -0.153839111328125, 0.608184814453125, 114.77370679883452, -124.32989895056814, -45.91997599136216 
5, -0.3153691291809082, -0.5004639625549316, -0.8009095191955566, -0.856414794921875, -0.1463623046875, 0.67974853515625, 116.13611110812577, -130.2245912040937, -45.44890965112075 
6, -0.5582971572875977, -0.730104923248291, -1.0325627326965332, -0.664154052734375, -0.117523193359375, 0.7801513671875, 116.85273496444312, -136.32979663299594, -45.60838585766332 
7, -0.9114775657653809, -1.7228975296020508, -2.450881004333496, -0.28924560546875, -0.027801513671875, 0.341156005859375, 116.48628219376518, -142.02981733877272, -46.4561603415243 
8, -2.0790610313415527, -3.6437087059020996, -2.775587558746338, 0.48406982421875, 0.143096923828125, -0.51654052734375, 116.73596391269554, -142.392862504258, -46.19144077000649 
9, -0.5846409797668457, -0.6840176582336426, -1.0847392082214355, 0.803436279296875, 0.17620849609375, -0.941650390625, 117.34185723477573, -135.88132340866352, -44.82409898305766 
10, 0.16901159286499023, 0.721348762512207, -0.964787483215332, 0.666717529296875, 0.0245361328125, -0.882904052734375, 118.5384870258428, -129.05953360806066, -42.85816606666472 
11, 0.30994701385498047, 1.3690786361694336, -0.3081071376800537, 0.5972900390625, -0.275604248046875, -0.84124755859375, 120.6938201307243, -123.3184924087223, -41.282679188158085 
12, 0.5578536987304688, 1.648843765258789, -0.3787839412689209, 0.75323486328125, -0.070526123046875, -0.861541748046875, 123.41026303048213, -117.44160568150551, -40.493167629657286 
13, 0.6600635051727295, 2.2251033782958984, 0.2868349552154541, 0.64215087890625, 0.0672607421875, -0.594512939453125, 125.92024375957617, -111.44196221132233, -38.513134201811425 
14, 0.012513995170593262, 2.52182674407959, 0.532551646232605, 0.62078857421875, 0.098236083984375, -0.23028564453125, 124.48440339858404, -105.87154948732397, -39.60172761597569 
15, 0.1516282558441162, 2.6075353622436523, 0.03548693656921387, 0.265106201171875, 0.088623046875, 0.14996337890625, 117.3608899994687, -102.83201310016035, -45.37740146622386 
16, 0.9801129102706909, 1.1631288528442383, 2.213632106781006, 0.092071533203125, -0.18267822265625, 0.183074951171875, 111.66188787068063, -102.3156468041557, -50.30243594148199 
17, -1.0694591999053955, 0.8029384613037109, 2.1841187477111816, -0.57977294921875, 0.22747802734375, 0.51953125, 108.65687374812858, -104.54854694203222, -53.76448244958001 
18, 0.9193799495697021, 1.711099624633789, 0.2305617332458496, -0.21875, -0.05450439453125, 0.13714599609375, 110.93907085340186, -107.49069952371681, -51.497961673511156 
19, 0.4402163028717041, 1.3588132858276367, -0.8857288360595703, -0.84466552734375, -0.040618896484375, 0.3486328125, 116.17252723768107, -110.91760987874837, -45.33916440004991 
20, 1.257981538772583, -0.3247041702270508, -0.24407243728637695, -0.6246337890625, 0.15484619140625, 0.52166748046875, 119.22326166572287, -116.57841310453848, -41.3580493938761 
21, -0.9700701236724854, 0.5316758155822754, -0.6638510227203369, -0.517822265625, 0.183685302734375, 0.415924072265625, 119.0344795374837, -121.61728512484368, -40.662341339701186 
22, -0.10831570625305176, 0.18454217910766602, -1.0060534477233887, -0.5947265625, -0.12286376953125, 0.454376220703125, 118.89662184286338, -126.47032503611497, -40.68020229947565 
23, -0.28664541244506836, 0.38917016983032227, -0.938899040222168, -0.59259033203125, -0.13995361328125, 0.539825439453125, 119.16285395205055, -130.80261609928328, -41.22596092643304 
24, -0.8121380805969238, -1.2236313819885254, -1.0448884963989258, -0.574432373046875, -0.064117431640625, 0.51312255859375, 119.16285395205055, -130.80261609928328, -41.22596092643304 
25, -1.824038028717041, -2.7734642028808594, -2.663484573364258, -0.136505126953125, 0.04376220703125, 0.23541259765625, 118.81969136401624, -139.25358539174547, -42.76267784928879 
26, -1.7662525177001953, -3.3665671348571777, -2.198493480682373, 0.52679443359375, 0.15911865234375, -0.4674072265625, 118.51413953631452, -138.55253812506672, -42.56165698063966 
27, -0.4607963562011719, -0.8505582809448242, -1.3584709167480469, 0.68914794921875, 0.158050537109375, -0.82415771484375, 118.8887729472667, -133.34705532534812, -41.33343380389069 
28, -0.1735095977783203, 0.5393643379211426, -0.6164412498474121, 0.62078857421875, -0.173065185546875, -0.850860595703125, 120.41925734232842, -127.39687750153121, -39.387123747338485 
29, -0.5357136726379395, 1.0067873001098633, -0.17115426063537598, 0.668853759765625, -0.337554931640625, -0.878631591796875, 123.55526353534916, -120.65114948609308, -38.241892668283434 
30, 0.4697291851043701, 2.282048225402832, -0.13103652000427246, 0.832275390625, -0.104705810546875, -0.776092529296875, 126.55483059435781, -114.21610063543208, -37.36603684564686 
31, 1.3032381534576416, 2.7566709518432617, 0.4292871952056885, 0.7767333984375, -0.2318115234375, -0.44818115234375, 127.96683513220844, -108.62848453524069, -36.502968796418 
32, 0.20673024654388428, 2.3427467346191406, 0.3473759889602661, 0.46697998046875, 0.23602294921875, -0.001708984375, 124.02019762123626, -103.88036948310464, -41.021802146153526 
33, 1.706569790840149, 0.5990257263183594, 0.7306333780288696, 0.14654541015625, 0.32574462890625, 0.06024169921875, 119.42511025953512, -102.92382823311834, -44.49061434253897 
34, 1.4377487897872925, 0.8375635147094727, 1.2727516889572144, 0.04827880859375, 0.105712890625, 0.30377197265625, 114.15907648072405, -102.80630845359087, -48.23557705206812 
35, -0.28363823890686035, 0.3050413131713867, 1.0768718719482422, -0.339447021484375, 0.038421630859375, 0.366790771484375, 109.90882782801667, -104.71295479239534, -51.731830058982496 
36, 1.8165385723114014, 2.4531021118164062, -1.5165733098983765, -0.266815185546875, -0.1378173828125, 0.21832275390625, 111.04273232470614, -107.01114509147004, -51.03707113064343 
37, -0.6017773151397705, 1.955489158630371, 0.2175455093383789, -0.81903076171875, 0.09716796875, 0.53875732421875, 118.3496685960233, -110.55040191649194, -43.07855415829213 
38, -1.1501762866973877, 0.48015499114990234, 0.5982708930969238, -0.730377197265625, 0.207183837890625, 0.582550048828125, 120.01355874186982, -116.82831470501199, -40.25579352838089 
39, -0.8421773910522461, -0.3333911895751953, -0.6142721176147461, -0.683380126953125, 0.059783935546875, 0.6348876953125, 119.38664867038054, -124.00079042578257, -39.820806977137075 
