#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma, Orientation Alpha, Orientation Beta, Orientation Gamma 
1, -0.1733722686767578, 0.032512664794921875, -0.07454156875610352, 0.032257080078125, 0.0928955078125, 0.0068359375, 57.84072020296651, -65.22007847387245, 16.343456546186516 
2, 0.19711709022521973, -0.06442070007324219, 0.09974956512451172, 0.002349853515625, 0.02880859375, -0.058319091796875, 57.86426490991428, -64.81489954745855, 16.96617240491141 
3, 0.040262460708618164, 0.11316204071044922, 0.16933774948120117, 0.02691650390625, 0.0672607421875, -0.030548095703125, 56.76426771693095, -64.78745114051813, 16.03049489565291 
4, 0.2129744291305542, 0.1516551971435547, 0.0722494125366211, 0.0760498046875, 0.085418701171875, 0.01751708984375, 55.53426919555639, -64.41543962975858, 15.500202976181374 
5, 0.23119235038757324, 0.26680660247802734, 0.022193431854248047, 0.179656982421875, -0.094024658203125, 0.10723876953125, 55.149173277087364, -63.89868338816212, 15.476774077379455 
6, -0.14043164253234863, 0.948237419128418, -0.5126528739929199, 0.508636474609375, -0.478546142578125, 0.289886474609375, 55.915005561089, -62.25049324796301, 15.543425465909344 
7, 0.9957811832427979, 0.7631773948669434, -0.10053062438964844, 0.897430419921875, -0.18267822265625, 0.606048583984375, 58.85879076648298, -58.55660755699861, 15.74582415103811 
8, 0.2552788257598877, 0.6533322334289551, -0.48283958435058594, 1.126007080078125, -0.71246337890625, 0.681884765625, 62.40579637044807, -52.0987761935582, 16.223085204843787 
9, -1.6657007932662964, 0.16534423828125, 0.1599116325378418, 1.310791015625, -1.49432373046875, 0.351837158203125, 65.2711820176755, -42.89355257678981, 13.707934790930274 
10, -0.4459853172302246, 0.39953041076660156, -2.492403030395508, 1.845916748046875, -0.888702392578125, 0.85064697265625, 68.06456674973741, -33.36260173053073, 7.375123545258225 
11, -5.532892227172852, -3.274789571762085, 1.2615995407104492, 1.30010986328125, 0.57354736328125, 0.7374267578125, 73.95174773590249, -24.25192373310438, 6.703361054172922 
12, -2.67653226852417, -1.3619272708892822, 3.83804988861084, 0.636810302734375, 1.06060791015625, 0.0880126953125, 76.24612192268017, -15.738437936058697, 8.779546376201576 
13, -1.4111874103546143, 0.15719008445739746, 1.8428239822387695, 0.57379150390625, -0.78936767578125, -0.056182861328125, 75.45740559944159, -11.166770524397965, 8.517275369448184 
14, -0.6681454181671143, 0.2919055223464966, 1.5896787643432617, 0.092071533203125, 0.059783935546875, -0.124542236328125, 74.89166426762807, -9.328034557205305, 7.911691697083833 
15, -0.034070730209350586, -0.21757566928863525, 1.0169029235839844, -0.12689208984375, -0.05450439453125, 0.033538818359375, 74.29003105572569, -9.392130379939731, 8.180600284582875 
16, -0.07284903526306152, 0.015930652618408203, 0.143157958984375, -0.056396484375, 0.04803466796875, -0.0999755859375, 74.2387646987488, -10.156395656064369, 8.817965877766333 
17, -0.3311126232147217, -0.06789934635162354, 0.2818155288696289, -0.104461669921875, 0.096099853515625, 0.054901123046875, 73.9268889412536, -10.454787521879334, 8.839981006350296 
18, -0.3202955722808838, -0.3286234140396118, 0.4712553024291992, -0.0478515625, 0.02239990234375, -0.02734375, 74.28070421326986, -10.960705483906292, 9.293580203698195 
19, -0.2743959426879883, 0.25718986988067627, -0.6385498046875, -0.059600830078125, 0.025604248046875, -0.000640869140625, 74.11630940835641, -11.235349953954865, 9.60230534683127 
20, -0.2680981159210205, 0.31833839416503906, 0.2018890380859375, 0.089935302734375, -0.0609130859375, 0.052764892578125, 74.19710698464837, -11.123062047837823, 9.922622058347622 
21, -0.19843876361846924, -0.06361937522888184, 0.36275672912597656, 0.01409912109375, -0.05023193359375, 0.095489501953125, 74.19710698464837, -11.123062047837823, 9.922622058347622 
22, -0.06296861171722412, 0.07041943073272705, 0.4060697555541992, -0.006195068359375, 0.014923095703125, 0.003631591796875, 74.19710698464837, -11.123062047837823, 9.922622058347622 
