#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma,  
1, 3.558807373046875, 3.225677490234375, 8.626785278320312, -1.061492919921875, -0.0438232421875, 0.647705078125, 
2, 5.9020233154296875, 0.67950439453125, 12.321243286132812, -0.313812255859375, -0.0780029296875, 0.442626953125, 
3, 4.8116912841796875, 1.15106201171875, 10.956924438476562, 0.883544921875, 0.068328857421875, -0.483428955078125, 
4, 3.659088134765625, 4.3966827392578125, 9.23388671875, 1.326812744140625, 0.145233154296875, -0.848724365234375, 
5, 1.5077056884765625, 4.8333892822265625, 6.4131011962890625, 1.36846923828125, 0.06512451171875, -0.47381591796875, 
6, 1.22802734375, 7.6590728759765625, 4.50689697265625, 1.087554931640625, -0.168792724609375, -0.2537841796875, 
7, 0.1092529296875, 8.3555908203125, 2.4312286376953125, 0.726531982421875, -0.085479736328125, -0.425750732421875, 
8, -0.0021209716796875, 9.5712890625, 1.94012451171875, -0.172821044921875, 0.149505615234375, 0.13714599609375, 
9, 1.3396148681640625, 8.431472778320312, 2.6385345458984375, -1.01556396484375, 0.098236083984375, 0.200164794921875, 
10, 0.1530303955078125, 6.8359222412109375, 4.794525146484375, -0.899139404296875, 0.05230712890625, 0.32086181640625, 
11, 0.4265289306640625, 7.08612060546875, 6.7065582275390625, -1.172576904296875, -0.21685791015625, 0.539825439453125, 
12, 2.193359375, 4.8323822021484375, 8.143539428710938, -1.138397216796875, -0.036346435546875, 0.644500732421875, 
13, 4.5118255615234375, 1.4067840576171875, 9.963516235351562, -0.873504638671875, -0.09722900390625, 0.693634033203125, 
14, 5.1319427490234375, 1.1913909912109375, 12.501983642578125, -0.27215576171875, -0.044891357421875, 0.296295166015625, 
15, 4.6003570556640625, 2.4715118408203125, 10.391693115234375, 1.18902587890625, -0.130340576171875, -0.810272216796875, 
16, 2.604461669921875, 5.0864715576171875, 6.6390838623046875, 1.5714111328125, 0.3065185546875, -0.7493896484375, 
17, 1.193145751953125, 6.7435760498046875, 3.89691162109375, 1.096099853515625, -0.277740478515625, -0.427886962890625, 
18, 0.678314208984375, 8.193191528320312, 2.1897735595703125, 0.220245361328125, -0.10577392578125, -0.115997314453125, 
19, 0.1919403076171875, 8.351409912109375, 2.857086181640625, -0.5135498046875, 0.24029541015625, 0.253570556640625, 
20, 0.555450439453125, 9.061737060546875, 6.07275390625, -0.9151611328125, -0.450775146484375, 0.4981689453125, 
21, 2.4304046630859375, 5.92486572265625, 6.6064453125, -1.13519287109375, -0.147430419921875, 0.623138427734375, 
22, 2.956024169921875, 3.275848388671875, 8.261001586914062, -1.063629150390625, 0.09716796875, 0.834625244140625, 
23, 5.7605438232421875, 0.8096160888671875, 12.640670776367188, 0.032257080078125, -0.04595947265625, -0.007049560546875, 
24, 4.1080322265625, 3.9718017578125, 9.373733520507812, 1.40264892578125, 0.059783935546875, -1.008941650390625, 
25, 1.9454345703125, 5.8505096435546875, 5.082000732421875, 1.747650146484375, -0.19976806640625, -0.4033203125, 
26, 1.08837890625, 7.389373779296875, 2.1174163818359375, 0.523590087890625, -0.0908203125, -0.58062744140625, 
27, -0.7117767333984375, 8.6019287109375, 1.2453460693359375, -0.435577392578125, 0.348175048828125, 0.3187255859375, 
28, 0.853424072265625, 8.016387939453125, 3.2736053466796875, -1.15869140625, 0.33856201171875, 0.082672119140625, 
29, 1.7793121337890625, 6.48345947265625, 5.9232940673828125, -1.3167724609375, -0.24249267578125, 0.6605224609375, 
30, 3.4252471923828125, 5.69439697265625, 8.030853271484375, -0.76348876953125, -0.04595947265625, 0.892303466796875, 
31, 3.21112060546875, 3.6461639404296875, 7.9575958251953125, -0.95574951171875, -0.019256591796875, 0.87628173828125, 
32, 6.2986602783203125, 3.306396484375, 13.059768676757812, 0.61651611328125, -0.183746337890625, -0.180084228515625, 
33, 4.9933319091796875, 4.7511138916015625, 8.438262939453125, 1.482757568359375, -0.128204345703125, -1.0313720703125, 
34, 1.8199005126953125, 6.3087310791015625, 3.7030487060546875, 1.3748779296875, -0.2061767578125, -0.88397216796875, 
35, -0.8466644287109375, 8.728912353515625, 0.7659149169921875, 0.41998291015625, -0.117523193359375, -0.282623291015625, 
36, -0.2190093994140625, 8.604110717773438, 1.0635833740234375, -0.6502685546875, 0.104644775390625, 0.129669189453125, 
37, 0.58990478515625, 7.6298980712890625, 4.3714447021484375, -1.527191162109375, -0.07159423828125, 0.413787841796875, 
38, 3.2091827392578125, 5.01629638671875, 7.708343505859375, -1.03692626953125, -0.149566650390625, 1.15185546875, 
39, 4.1597137451171875, 2.409423828125, 9.086456298828125, -1.0048828125, 0.234954833984375, 0.77374267578125, 
40, 6.0164337158203125, 0.18072509765625, 12.924758911132812, 0.130523681640625, -0.083343505859375, 0.012176513671875, 
41, 5.036163330078125, 3.656982421875, 9.461456298828125, 1.463531494140625, -0.321533203125, -1.013214111328125, 
42, 3.337066650390625, 4.8121795654296875, 6.2379150390625, 1.452850341796875, -0.04168701171875, -1.05059814453125, 
43, 0.934326171875, 7.3426055908203125, 3.04718017578125, 1.1441650390625, -0.202972412109375, -0.7579345703125, 
44, 0.2124786376953125, 9.374237060546875, 1.2944793701171875, -0.17388916015625, 0.091827392578125, 0.180938720703125, 
