#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma,  
1, 0.828216552734375, 7.5852508544921875, 11.842681884765625, 0.27899169921875, -0.16558837890625, 0.210845947265625, 
2, 0.4528961181640625, 8.77435302734375, 12.5401611328125, -0.7613525390625, -0.45184326171875, -0.457794189453125, 
3, -1.24761962890625, 7.901824951171875, 11.747451782226562, -0.815826416015625, -0.0908203125, -0.207855224609375, 
4, -0.9811248779296875, 5.3418426513671875, 10.615829467773438, -0.910888671875, 0.01385498046875, -0.2110595703125, 
5, 0.065948486328125, 4.60150146484375, 10.700881958007812, -0.617156982421875, -0.666534423828125, -0.0401611328125, 
6, -0.44342041015625, 3.07061767578125, 8.219375610351562, -0.561614990234375, -0.138885498046875, -0.090362548828125, 
7, 0.1920928955078125, 2.80352783203125, 7.446685791015625, -0.3212890625, -0.35784912109375, -0.14056396484375, 
8, 0.4207611083984375, 2.1927642822265625, 5.5700836181640625, -0.080963134765625, 0.1356201171875, -0.09356689453125, 
9, -0.0810546875, 2.7433929443359375, 4.6845550537109375, 0.04400634765625, -0.087615966796875, -0.278350830078125, 
10, -0.221282958984375, 2.556671142578125, 5.3814239501953125, 0.077117919921875, -0.029937744140625, -0.04229736328125, 
11, 0.4053497314453125, 3.0363922119140625, 6.0538330078125, 0.072845458984375, -0.16558837890625, -0.00811767578125, 
12, 0.384185791015625, 3.3699493408203125, 6.3333740234375, -0.010467529296875, -0.126068115234375, 0.00042724609375, 
13, -0.3660125732421875, 3.3652496337890625, 7.59600830078125, 0.03118896484375, -0.150634765625, -0.0059814453125, 
14, 0.259246826171875, 3.2694854736328125, 8.6536865234375, 0.49688720703125, 0.126007080078125, 0.121124267578125, 
15, 0.931365966796875, 4.083160400390625, 9.86956787109375, 0.168975830078125, 0.11639404296875, -0.2110595703125, 
16, 0.8524627685546875, 4.9077301025390625, 12.103561401367188, 0.07818603515625, 0.0416259765625, -0.17047119140625, 
17, 0.67138671875, 5.677764892578125, 15.93829345703125, -0.145050048828125, 0.003173828125, -0.248443603515625, 
18, -0.041168212890625, 4.39068603515625, 14.466171264648438, -0.10552978515625, 0.119598388671875, -0.049774169921875, 
19, 0.3193206787109375, 4.6459197998046875, 11.612762451171875, -0.450531005859375, -0.048095703125, -0.01239013671875, 
20, 0.0961456298828125, 2.9098663330078125, 10.553756713867188, -0.57122802734375, 0.209320068359375, 0.01751708984375, 
21, 0.229644775390625, 2.4888916015625, 8.288009643554688, -0.1204833984375, 0.09503173828125, 0.097625732421875, 
