#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma,  
1, 2.9852447509765625, 5.3114013671875, -2.6188201904296875, -2.10076904296875, 0.0074462890625, -0.9459228515625, 
2, -6.731201171875, 1.762847900390625, 4.486053466796875, -0.808349609375, -0.929290771484375, -0.00384521484375, 
3, 2.1285400390625, 0.988555908203125, -0.6271209716796875, 0.957244873046875, -1.09698486328125, 0.4981689453125, 
4, 1.8404693603515625, 0.956756591796875, -2.9830780029296875, 1.550048828125, 0.440032958984375, 1.093109130859375, 
5, 5.5916900634765625, 6.4825897216796875, -7.191741943359375, 1.427215576171875, 0.65472412109375, 1.046112060546875, 
6, 7.48193359375, 11.970962524414062, -12.374420166015625, 1.068328857421875, 0.431488037109375, 1.24798583984375, 
7, 11.397796630859375, 18.561019897460938, -16.177139282226562, -0.2059326171875, -0.013916015625, -0.152313232421875, 
8, 6.57196044921875, 9.9874267578125, -9.2611083984375, -1.1031494140625, -0.183746337890625, -1.250335693359375, 
9, 4.5249176025390625, 7.256622314453125, -7.13299560546875, -0.84893798828125, -0.2403564453125, -1.11895751953125, 
10, 1.5669097900390625, 6.002166748046875, -3.147247314453125, -1.77178955078125, -0.049163818359375, -1.28558349609375, 
11, -0.055755615234375, -0.3578643798828125, 2.0328826904296875, -0.869232177734375, 0.27447509765625, -0.5186767578125, 
12, -4.228546142578125, 4.287506103515625, 3.288177490234375, -0.1845703125, 0.413330078125, 0.035675048828125, 
13, 2.2507781982421875, 0.175140380859375, -1.0185546875, 1.053375244140625, -0.51806640625, 1.03436279296875, 
14, 3.516845703125, 10.704238891601562, -6.40716552734375, 1.46673583984375, 0.168731689453125, 0.93609619140625, 
15, 6.5421600341796875, 5.370758056640625, -6.45928955078125, 1.22320556640625, 0.369537353515625, 0.998046875, 
16, 7.6432037353515625, 14.86199951171875, -12.286102294921875, 0.9647216796875, 0.239227294921875, 0.8912353515625, 
17, 10.188583374023438, 18.768478393554688, -14.106002807617188, -0.501800537109375, -0.145294189453125, -0.274078369140625, 
18, 6.765655517578125, 9.737396240234375, -9.137161254882812, -1.133056640625, -0.348236083984375, -1.07196044921875, 
19, 3.6067962646484375, 8.129608154296875, -6.8937835693359375, -1.05401611328125, -0.27239990234375, -1.14031982421875, 
20, 2.55487060546875, 6.3715667724609375, -2.9993438720703125, -1.65643310546875, 0.023468017578125, -1.403076171875, 
21, 1.029541015625, -0.42010498046875, 2.167022705078125, -1.057220458984375, 0.7166748046875, -0.64898681640625, 
22, -3.9791107177734375, 3.060089111328125, 3.1113128662109375, -0.23370361328125, 0.28302001953125, 0.0281982421875, 
23, 0.927978515625, -2.22735595703125, -2.2827911376953125, 1.12066650390625, -0.070526123046875, 1.17962646484375, 
24, 3.779510498046875, 12.215377807617188, -5.2286224365234375, 1.62908935546875, 0.19329833984375, 0.9339599609375, 
25, 4.499969482421875, 10.49774169921875, -7.6009979248046875, 1.367401123046875, 0.375946044921875, 1.127288818359375, 
26, 9.156005859375, 14.978271484375, -13.233291625976562, 0.698760986328125, 0.106781005859375, 0.905120849609375, 
27, 9.49853515625, 16.736541748046875, -13.828872680664062, -0.876708984375, -0.102569580078125, -0.78143310546875, 
28, 5.2875518798828125, 10.021255493164062, -8.16522216796875, -0.903411865234375, -0.43902587890625, -1.058074951171875, 
29, 3.124114990234375, 9.316635131835938, -4.8753814697265625, -1.11383056640625, -0.30657958984375, -1.2364501953125, 
30, 1.3250274658203125, 1.326385498046875, -0.1862030029296875, -1.9063720703125, 0.3236083984375, -0.878631591796875, 
31, -2.23443603515625, 1.3034820556640625, 3.3279876708984375, -0.431304931640625, -0.361053466796875, -0.118133544921875, 
32, 0.4212799072265625, 5.5560302734375, -0.0885162353515625, 0.480865478515625, 0.27874755859375, 0.4212646484375, 
33, 1.628387451171875, 2.9115753173828125, -0.4820404052734375, 1.598114013671875, -0.18695068359375, 0.734222412109375, 
34, -0.4962921142578125, 5.74505615234375, -5.9156341552734375, 1.71026611328125, 0.354583740234375, 0.873077392578125, 
35, 7.7637481689453125, 13.453765869140625, -9.6466064453125, 1.27447509765625, 0.4261474609375, 1.161468505859375, 
36, 10.101486206054688, 16.744064331054688, -14.641250610351562, 0.506500244140625, 0.076873779296875, 0.340087890625, 
37, 5.6943359375, 14.100296020507812, -10.500091552734375, -0.9578857421875, 0.081146240234375, -1.13818359375, 
38, 4.192962646484375, 10.030364990234375, -7.49078369140625, -0.704742431640625, -0.613128662109375, -1.09332275390625, 
39, 3.326904296875, 9.715805053710938, -4.9246978759765625, -1.174713134765625, -0.15277099609375, -1.11468505859375, 
40, 0.373138427734375, 0.1462554931640625, -0.2626495361328125, -2.103973388671875, -0.14422607421875, -0.62335205078125, 
41, -3.2128143310546875, 2.0878143310546875, 3.005462646484375, -0.073486328125, -0.136749267578125, -0.212127685546875, 
42, 1.6346893310546875, 5.7313690185546875, 2.087860107421875, 0.9476318359375, -0.256378173828125, 0.667999267578125, 
43, -1.2942047119140625, 1.3727264404296875, -1.8108367919921875, 1.430419921875, -0.11004638671875, 0.78228759765625, 
44, 1.9591827392578125, 3.538360595703125, -4.745086669921875, 1.080078125, 0.890777587890625, 0.958526611328125, 
45, 7.0192108154296875, 14.087982177734375, -10.937088012695312, 0.9049072265625, 0.115325927734375, 1.255462646484375, 
46, 11.490203857421875, 20.037445068359375, -14.803176879882812, -0.1375732421875, -0.00750732421875, -0.0145263671875, 
47, 5.880462646484375, 11.273025512695312, -8.500900268554688, -1.07110595703125, -0.245697021484375, -1.0869140625, 
48, 3.7425689697265625, 9.28814697265625, -7.568817138671875, -0.796600341796875, -0.254241943359375, -0.966217041015625, 
49, 2.733001708984375, 7.893829345703125, -3.806976318359375, -1.478057861328125, -0.3941650390625, -1.17449951171875, 
50, 0.306427001953125, -0.6898956298828125, 1.4169769287109375, -0.96856689453125, 0.175140380859375, -0.397979736328125, 
51, -1.837249755859375, 5.7932281494140625, 3.2208099365234375, 0.292877197265625, 0.414398193359375, 0.066650390625, 
52, 0.8368377685546875, 2.8149261474609375, -1.791717529296875, 0.69769287109375, -1.523162841796875, 0.8314208984375, 
53, 2.3298492431640625, 5.5417022705078125, -0.4305267333984375, 1.62054443359375, 0.4517822265625, 1.00872802734375, 
54, 4.3697662353515625, 6.641815185546875, -5.1663055419921875, 1.44537353515625, 0.2039794921875, 1.078155517578125, 
55, 5.36187744140625, 10.451004028320312, -8.417083740234375, 1.02667236328125, 0.397308349609375, 1.13690185546875, 
