#Measurement, Acceleration X, Acceleration Y, Acceleration Z, Rotation Alpha, Rotation Beta, Rotation Gamma,  
1, 2.7916717529296875, 7.785797119140625, 4.798095703125, -0.85748291015625, 0.002105712890625, 0.232208251953125, 
2, 3.4482269287109375, 6.9352264404296875, 6.0919647216796875, -0.87884521484375, -0.01177978515625, 0.4468994140625, 
3, 3.0833892822265625, 5.21441650390625, 6.510406494140625, -0.875640869140625, -0.070526123046875, 0.565460205078125, 
4, 4.6060028076171875, 5.2221221923828125, 8.49188232421875, -0.623565673828125, 0.057647705078125, 0.435150146484375, 
5, 4.3334808349609375, 5.707794189453125, 9.560806274414062, -0.174957275390625, 0.076873779296875, 0.32940673828125, 
6, 4.8754425048828125, 5.6160125732421875, 9.260406494140625, 0.2255859375, 0.008514404296875, -0.071136474609375, 
7, 4.5189056396484375, 5.475738525390625, 8.212905883789062, 0.56097412109375, -0.04168701171875, -0.2452392578125, 
8, 3.8544921875, 5.714935302734375, 6.8172760009765625, 0.7169189453125, -0.056640625, -0.353118896484375, 
9, 3.4902801513671875, 6.5582122802734375, 6.434173583984375, 0.764984130859375, -0.07373046875, -0.3819580078125, 
10, 3.0182037353515625, 7.593963623046875, 5.208160400390625, 0.750030517578125, -0.2147216796875, -0.528289794921875, 
11, 2.3944244384765625, 7.5283660888671875, 4.17559814453125, 0.73187255859375, -0.356781005859375, -0.521881103515625, 
12, 2.4101409912109375, 7.4998016357421875, 3.636871337890625, 0.468048095703125, 0.029876708984375, -0.370208740234375, 
13, 1.38262939453125, 8.956893920898438, 2.259063720703125, 0.156158447265625, -0.027801513671875, -0.04229736328125, 
14, 0.63116455078125, 8.555404663085938, 2.1158447265625, -0.2144775390625, 0.311859130859375, 0.210845947265625, 
15, 1.78302001953125, 8.203155517578125, 3.8189544677734375, -0.534912109375, 0.252044677734375, 0.146759033203125, 
16, 2.44580078125, 8.217742919921875, 4.26654052734375, -0.62890625, 0.138824462890625, 0.247161865234375, 
17, 1.867401123046875, 7.4524383544921875, 4.263702392578125, -0.84039306640625, -0.158111572265625, 0.1649169921875, 
18, 2.7994537353515625, 6.4127655029296875, 6.3174285888671875, -0.8809814453125, -0.194427490234375, 0.305908203125, 
19, 3.0675048828125, 6.760833740234375, 7.2530670166015625, -0.843597412109375, 0.01812744140625, 0.314453125, 
20, 3.465362548828125, 6.035369873046875, 7.89422607421875, -0.381103515625, -0.094024658203125, 0.59857177734375, 
21, 4.6197662353515625, 5.9908447265625, 8.960113525390625, -0.26788330078125, 0.066192626953125, 0.21832275390625, 
22, 5.1207427978515625, 5.98175048828125, 9.191055297851562, 0.09954833984375, -0.04168701171875, -0.004913330078125, 
23, 4.63250732421875, 6.0538787841796875, 8.47393798828125, 0.51611328125, 0.088623046875, -0.31787109375, 
24, 3.8800506591796875, 5.86944580078125, 6.944091796875, 0.68487548828125, 0.002105712890625, -0.43109130859375, 
25, 3.4464111328125, 6.3316192626953125, 6.1781768798828125, 0.781005859375, -0.027801513671875, -0.385162353515625, 
26, 3.0244598388671875, 7.339874267578125, 5.4836273193359375, 0.73614501953125, -0.044891357421875, -0.425750732421875, 
27, 2.2173614501953125, 7.46728515625, 4.2641754150390625, 0.80023193359375, -0.21685791015625, -0.391571044921875, 
28, 2.1033935546875, 7.95355224609375, 3.6848602294921875, 0.485137939453125, -0.489227294921875, -0.3221435546875, 
29, 2.2606658935546875, 8.467529296875, 2.953338623046875, 0.2469482421875, -0.18695068359375, -0.137359619140625, 
30, 2.0262298583984375, 8.8460693359375, 2.200592041015625, -0.157867431640625, 0.2723388671875, 0.042083740234375, 
31, 1.767486572265625, 8.709030151367188, 3.0536041259765625, -0.2999267578125, 0.258453369140625, 0.17987060546875, 
32, 1.706146240234375, 8.7076416015625, 3.8180084228515625, -0.373626708984375, 0.386627197265625, 0.1307373046875, 
33, 2.5760650634765625, 8.817092895507812, 4.4802093505859375, -0.683380126953125, 0.181549072265625, 0.33367919921875, 
34, 3.19976806640625, 7.3955078125, 5.033203125, -0.542388916015625, -0.07373046875, 0.2845458984375, 
35, 3.2274627685546875, 6.7323150634765625, 6.48297119140625, -0.75921630859375, -0.100433349609375, 0.1563720703125, 
36, 3.082000732421875, 6.0152587890625, 6.812042236328125, -0.78485107421875, 0.205047607421875, 0.093353271484375, 
37, 3.4431915283203125, 5.6159820556640625, 7.6796417236328125, -0.713287353515625, -0.05023193359375, 0.157440185546875, 
38, 3.155487060546875, 5.74273681640625, 7.8462371826171875, -0.514617919921875, -0.0352783203125, 0.277069091796875, 
39, 4.03631591796875, 4.87921142578125, 8.913986206054688, -0.18670654296875, -0.00537109375, 0.2119140625, 
40, 4.183868408203125, 5.4264984130859375, 9.5062255859375, -0.046783447265625, 0.0159912109375, -0.035888671875, 
41, 4.0413055419921875, 5.9430999755859375, 9.356216430664062, 0.431732177734375, -0.0780029296875, -0.0145263671875, 
42, 3.8670654296875, 5.75146484375, 8.214492797851562, 0.690216064453125, -0.082275390625, -0.1298828125, 
43, 3.438201904296875, 5.9366607666015625, 7.090972900390625, 0.931610107421875, -0.1549072265625, -0.09783935546875, 
44, 3.243865966796875, 6.99566650390625, 5.7853851318359375, 0.7852783203125, -0.125, -0.306121826171875, 
45, 2.8423004150390625, 7.339080810546875, 4.7732086181640625, 0.81304931640625, -0.275604248046875, -0.331756591796875, 
46, 2.412994384765625, 7.7635955810546875, 4.0435943603515625, 0.583404541015625, -0.2232666015625, -0.400115966796875, 
47, 0.9752349853515625, 8.961257934570312, 2.3446197509765625, 0.506500244140625, -0.28948974609375, -0.3306884765625, 
48, 1.173431396484375, 8.67669677734375, 2.50439453125, -0.0093994140625, -0.1378173828125, -0.08929443359375, 
49, 2.735443115234375, 8.7923583984375, 3.0212860107421875, -0.418487548828125, 0.138824462890625, 0.109375, 
50, 1.7498931884765625, 8.464614868164062, 3.2425079345703125, -0.66949462890625, 0.2894287109375, 0.187347412109375, 
51, 1.63287353515625, 7.9140472412109375, 4.757232666015625, -0.688720703125, -0.14208984375, 0.221527099609375, 
52, 2.03216552734375, 6.8592529296875, 5.8038177490234375, -0.820098876953125, 0.00103759765625, 0.22900390625, 
53, 3.420745849609375, 6.0027923583984375, 7.5372314453125, -0.64599609375, 0.061920166015625, 0.48321533203125, 
54, 3.065216064453125, 7.0572509765625, 6.96820068359375, -0.606475830078125, -0.013916015625, 0.330474853515625, 
55, 3.4005279541015625, 6.31842041015625, 8.025741577148438, -0.456939697265625, -0.064117431640625, 0.22900390625, 
56, 3.5400390625, 6.3216552734375, 8.624481201171875, -0.30633544921875, -0.017120361328125, 0.13287353515625, 
57, 4.2787628173828125, 5.68853759765625, 9.208786010742188, 0.121978759765625, -0.036346435546875, -0.030548095703125, 
58, 3.88330078125, 5.938934326171875, 7.8896942138671875, 0.579132080078125, -0.04595947265625, -0.109588623046875, 
59, 3.3314208984375, 6.3697052001953125, 7.1633453369140625, 0.690216064453125, -0.004302978515625, -0.2281494140625, 
60, 3.0086212158203125, 6.8789520263671875, 6.0357208251953125, 0.7767333984375, -0.08013916015625, -0.327484130859375, 
61, 2.7071533203125, 7.409332275390625, 5.1327972412109375, 0.833343505859375, -0.183746337890625, -0.412933349609375, 
62, 2.2400054931640625, 7.54412841796875, 3.9844512939453125, 0.754302978515625, -0.34930419921875, -0.395843505859375, 
63, 1.8922576904296875, 7.9448394775390625, 2.93048095703125, 0.66778564453125, -0.247833251953125, -0.3563232421875, 
64, 1.46832275390625, 8.865875244140625, 2.015472412109375, 0.24053955078125, -0.10577392578125, -0.17474365234375, 
