#Measurement, Acceleration X, Acceleration Y, Acceleration Z 
1, 0, 0, 0 
2, -0.2179720401763916, -0.08779275417327881, -0.042797088623046875 
3, -2.2647087574005127, 0.5724024772644043, 2.7078933715820312 
4, -0.3393048048019409, 1.8758759498596191, -0.7666711807250977 
5, -0.08589348196983337, 1.439624547958374, -0.6623144149780273 
6, -0.44015055894851685, 1.2069611549377441, -0.31453895568847656 
7, -1.163718819618225, 1.768244981765747, 0.5696725845336914 
8, 0.05484730005264282, 1.952486276626587, 2.400763511657715 
9, 0.15731710195541382, 0.9907610416412354, 2.4087982177734375 
10, -0.5834597945213318, 0.27019333839416504, 2.119572639465332 
11, -3.931537389755249, 1.0207133293151855, -1.1895265579223633 
12, -0.5504944324493408, 5.808016300201416, -5.903073310852051 
13, -6.130555152893066, 1.547717571258545, 1.0724287033081055 
14, -5.349028587341309, 1.0977740287780762, -2.439023971557617 
15, -0.7215743064880371, 3.2567076683044434, -3.767087459564209 
16, -1.0180988311767578, 0.9674344062805176, 0.15697526931762695 
17, -1.1519997119903564, -0.1952652931213379, 3.056276321411133 
18, -0.12011528015136719, -0.2480454444885254, 2.334909439086914 
19, 0.6010458469390869, -0.17434024810791016, 1.1101770401000977 
20, 0.3435935974121094, -0.20049619674682617, -0.3480558395385742 
21, 0.19260120391845703, 0.22772693634033203, 0.15007591247558594 
22, 1.4133951663970947, -0.2404942512512207, 0.5721044540405273 
23, 2.327524185180664, -0.1869668960571289, 0.18288612365722656 
24, 0.7305445671081543, -0.1736454963684082, -1.7001619338989258 
25, -1.4098320007324219, 0.3426342010498047, 0.05805683135986328 
26, -0.48787498474121094, 0.5017461776733398, -0.3965487480163574 
27, -2.3154280185699463, 1.822291374206543, -0.5840368270874023 
28, 1.2322502136230469, 1.6368117332458496, -0.9189300537109375 
29, 0.18849778175354004, 0.04957294464111328, -3.372408866882324 
30, 0.05771207809448242, 0.07346439361572266, -3.335437774658203 
31, 2.011855363845825, -0.06373929977416992, 1.1380176544189453 
32, 2.038414716720581, 0.012168407440185547, 1.4082942008972168 
33, 1.8633520603179932, -0.9463458061218262, 1.43284273147583 
34, 1.4124844074249268, -0.4285149574279785, 1.5085887908935547 
35, 0.9181272983551025, -0.9264349937438965, 0.9756507873535156 
36, 1.197864055633545, -0.23634052276611328, -0.2663435935974121 
37, 1.2085309028625488, 1.5613055229187012, 0.7725815773010254 
38, 1.7613744735717773, 4.2703633308410645, -0.4845280647277832 
39, 1.7431280612945557, 2.9229841232299805, -2.427178382873535 
40, 2.387889862060547, 3.0408935546875, -2.024444580078125 
41, 2.788207530975342, 2.7420544624328613, -3.0245962142944336 
42, 3.183793067932129, 1.149348258972168, -0.5894374847412109 
43, 3.364572525024414, -1.1368341445922852, -0.241241455078125 
44, 4.821178436279297, -4.773947238922119, -4.14322566986084 
45, 4.737611770629883, -1.1447572708129883, -3.1485729217529297 
46, 0.9632792472839355, -1.252838134765625, 3.885357618331909 
47, -0.8880705833435059, -5.935439109802246, 5.370980262756348 
48, 3.8006978034973145, -6.640599250793457, 6.74301290512085 
49, 1.9355411529541016, -3.9089536666870117, -1.86480712890625 
50, 1.7580230236053467, -1.9764442443847656, -1.5349907875061035 
